title,price
Главный бухгалтер, 1000 грн*
Бухгалтер, 10000 грн
Водитель на авто фирмы (служба такси), 10000 грн
Водитель на авто фирмы (служба такси), 10000 грн
Продавец-консультант в обувной магазин, 10000 грн
"Представитель компании  промоутер  мерчендайзер в гипермаркет ""Эпицентр""", 10000 грн
Рекрутер, 10000 грн
Юрист, 10000 грн
Консультант з технічних питань, 10000 грн
Автор научных работ по сопротивлению материалов, 10000 грн
English Teacher, 10000 грн
Геодезист, 10000 грн
Переводчик английского языка в брачное агентство, 10000 грн
Водитель Uber на авто компании, 10000 грн
Автор научных работ по архитектуре и строительству, 10000 грн
Менеджер по персоналу, 10000 грн
Слюсар з ремонту автомобілів, 10000 грн
Руководитель call-центра, 10000 грн
Заведующий аптекой (ст. м. Теремки), 10000 грн
HR-менеджер, 10000 грн
Транспортний диспетчер со знанием английского языка, 10000 грн
Водитель со своим микроавтобусом, 10000 грн
Продавец-консультант, 10000 грн
Менеджер по рекламе в агрокомпанию, 10000 грн
Customer Service Manager (Logistics), 10000 грн
Начальник инженерно-технического отдела, 10000 грн
Менеджер по сопровождению клиентов, 10000 грн
Продавец-консультант, 10000 грн
Менеджер по персоналу, 10000 грн
Повар холодного процесса в ресторан Eshak, 10000 грн
Менеджер по продажам запчастей на спецтехнику, 10000 грн
Инструктор тренажерного зала в фитнес-клуб (ул. Миропольская  11), 10000 грн
Мастер по ремонту, 10000 грн
Специалист по гарантии, 10000 грн
Мастер-приемщик, 10000 грн
Менеджер по продажам услуг бюро переводов, 10000 грн
Менеджер по продажам, 10000 грн
Менеджер по просчету металлопластиковых окон, 10000 грн
Менеджер по продажам, 10000 грн
Менеджер по туризму  продажам туров, 10000 грн
Начальник отдела телемаркетинга (входящая линия), 10000 грн
Автослесарь, 10000 грн
Контент-менеджер  администратор сайта в Бровары, 10000 грн
Junior SEO-специалист, 10000 грн
Автоэлектрик, 10000 грн
Прораб, 10000 грн
Преподаватель-инструктор английского языка, 10000 грн
Переводчик английского языка, 10000 грн
Водитель со своим грузовым авто Пикап, 10000 грн
Бухгалтер, 10000 грн
Программист PHP, 10000 грн
Водитель категории В  С (ГАЗель  Тата), 10000 грн
Оператор ЧПУ (плазма) в Бровары, 10000 грн
Супервайзер, 10000 грн
Логист отдела снабжения, 10000 грн
Торговый представитель с авто, 10000 грн
Сборщик металлопластиковых окон, 10000 грн
Менеджер по продажам  торговый представитель, 10000 грн
Front-end developer, 10000 грн
Бухгалтер, 10000 грн
PR-менеджер, 10000 грн
Автослесарь, 10000 грн
Ассистент руководителя, 10000 грн
Головний бухгалтер, 10000 грн
Менеджер по продажам (колл-центр интернет-магазина), 10000 грн
Тренер ТЗ (Минская), 10000 грн
Менеджер по работе с клиентами (производство  полиграфия  реклама), 10000 грн
Менеджер по продажам в салон дверей, 10000 грн
Курьер на мопед компании, 10000 грн
Контент-менеджер  администратор сайта, 10000 грн
Помощник кладовщика, 10000 грн
Инженер по ремонту оборудования (техника для уборки), 10000 грн
Менеджер з продажу банківських продуктів, 10000 грн
Водитель на авто фирмы (служба такси), 10000 грн
Водитель на авто фирмы (служба такси), 10000 грн
Торговый представитель, 10000 грн
Продавец-консультант в обувной магазин, 10000 грн
Специалист по подбору и адаптации персонала, 10000 грн
Преподаватель польского языка, 10000 грн
Риелтор  специалист по недвижимости, 10000 грн
Специалист по продажам (промышленный сектор), 10000 грн
"Представитель компании  промоутер  мерчендайзер в гипермаркет ""Эпицентр""", 10000 грн
Супервайзер, 10000 грн
Менеджер по логистике, 10000 грн
Менеджер по продажам  помощник менеджера в Вишневое, 10000 грн
Печатник шелкотрафаретной печати, 10000 грн
Колорист, 10000 грн
Повар-мясник в клуб-курорт Queen Country Club, 10000 грн
Контент-менеджер, 10000 грн
Клиент-менеджер  оператор в колл-центр со знанием немецкого языкa, 10000 грн
Рекрутер, 10000 грн
Торговый представитель (кондитерские изделия), 10000 грн
Торговый представитель (колбасные изделия), 10000 грн
Менеджер телефонных продаж  оператор в call-центр на входящие звонки (туризм), 10000 грн
Менеджер по продажам (В2В), 10000 грн
Кондитер в ресторан Queen Country Club (Конча-Заспа), 10000 грн
Оператор call-centre, 10000 грн
Торговый представитель с авто (правый берег), 10000 грн
Учитель английского языка (Троещина), 10000 грн
Менеджер по продажам, 10000 грн
Менеджер отдела логистики, 10000 грн
Торговый представитель с авто, 10000 грн
Инженер по ремонту печатной техники  заправке картриджей, 10000 грн
Копирайтер  автор текстов, 10000 грн
Официант, 10000 грн
Проектант-строитель  архитектор  конструктор, 10000 грн
Водитель-курьер со своим авто, 10000 грн
Энергетик, 10000 грн
Менеджер по работе с клиентами со знанием английского языка, 10000 грн
Юрист, 10000 грн
Руководитель проектов по ВОЛС в Могилев-Подольский, 10000 грн
Механик автоколонны, 10000 грн
Экспедитор со своим авто, 10000 грн
Специалист отдела безопасности, 10000 грн
Консультант з технічних питань, 10000 грн
Супервайзер со своим авто (правый берег), 10000 грн
Вчитель англійської мови, 10000 грн
Преподаватель английского языка по Skype, 10000 грн
Инженер ПТО, 10000 грн
Бухгалтер, 10000 грн
Менеджер по работе с клиентами, 10000 грн
Бухгалтер по товарному учету, 10000 грн
Менеджер по подбору автозапчастей, 10000 грн
Вчитель початкових класів, 10000 грн
Провізор аптечного складу, 10000 грн
Преподаватель английского, 10000 грн
Шлифовщик, 10000 грн
Медицинский представитель, 10000 грн
Администратор в мясной ресторан, 10000 грн
Инженер-сметчик, 10000 грн
Торговый представитель, 10000 грн
Менеджер по продажам (IT), 10000 грн
Project manager (интернет-маркетинг), 10000 грн
Контролер службы качества, 10000 грн
Оператор колл-центра, 10000 грн
Механик, 10000 грн
Клиент-менеджер, 10000 грн
Заместитель главного бухгалтера, 10000 грн
Главный бухгалтер, 10000 грн
Начальник транспортного отдела, 10000 грн
Повар в загородный ресторанный комплекс (Обуховское направление), 10000 грн
Менеджер по продажам ИT-услуг и ПО, 10000 грн
Менеджер з продажу послуг автодрому, 10000 грн
Project manager (Web-проекты), 10000 грн
Заместитель главного бухгалтера, 10000 грн
"Официант в ""Рукколу"" (КПИ  Контрактовая пл.  Борщаговка)", 10000 грн
Инженер-технолог  дежурный, 10000 грн
Специалист по расчету турпродукта, 10000 грн
Клишист-монтажник, 10000 грн
Вчитель математики, 10000 грн
Трейд-маркетолог, 10000 грн
Специалист по контекстной рекламе (Google AdWords и Яндекс. Директ), 10000 грн
Аналитик в страховую компанию, 10000 грн
Химик-технолог (косметика), 10000 грн
Водитель со своим авто, 10000 грн
Водитель кат. Е, 10000 грн
Оператор термопласта  литейщик, 10000 грн
Бригадир в Бучу, 10000 грн
Бухгалтер, 10000 грн
"Менеджер по развитию дилерской сети (товарная категория ""Электрика"")", 10000 грн
Бухгалтер (единственный), 10000 грн
Учитель начальных классов (в частную школу), 10000 грн
Менеджер по продажам товаров медицинского назначения, 10000 грн
Монтажник по подключению абонентов, 10000 грн
Менеджер по продажам, 10000 грн
Прораб в Бучу, 10000 грн
Механик (спец. техника), 10000 грн
Оператор на гибочный станок, 10000 грн
Менеджер по развитию дилерской сети (сантехника  системы отопления), 10000 грн
Автор научных работ по сопротивлению материалов, 10000 грн
Менеджер по логистике, 10000 грн
Менеджер по продажам оборудования от производителя, 10000 грн
Водій-експедитор з власним вантажним автомобілем (пікап  Петрівка), 10000 грн
Менеджер по работе с клиентами (интернет-магазин), 10000 грн
Менеджер по работе с клиентами  Account Manager, 10000 грн
Торговый представитель, 10000 грн
Специалист по эпиляции (с обучением), 10000 грн
Су-шеф, 10000 грн
Дизайнер, 10000 грн
Повар в ресторан, 10000 грн
Кондитер в ресторан Eshak, 10000 грн
Медицинский представитель, 10000 грн
English Teacher, 10000 грн
Оператор мини погрузчика в Бучу, 10000 грн
Преподаватель английского языка, 10000 грн
Инженер-электрик, 10000 грн
Старший администратор  директор детского клуба (Шулявка), 10000 грн
Администратор-помощник переводчиков на сайт Charmdate, 10000 грн
Хореограф, 10000 грн
Менеджер по продажам автотранспорта  запчастей и услуг, 10000 грн
Супервайзер call-center, 10000 грн
Менеджер по продажам, 10000 грн
Менеджер по продажам, 10000 грн
Заведующий складом, 10000 грн
Дизайнер  сотрудник копи-центра, 10000 грн
Повар в ресторан Queen Country Club (Конча-Заспа), 10000 грн
Специалист по решению экономических задач, 10000 грн
Маркетолог туристического проекта, 10000 грн
Водитель-экспедитор с личным транспортом, 10000 грн
Официант, 10000 грн
Менеджер по продажам, 10000 грн
Тренер по большому теннису, 10000 грн
SMM-менеджер, 10000 грн
Academic English Writer, 10000 грн
Повар-пекарь, 10000 грн
Специалист по продажам телекоммуникационных услуг, 10000 грн
Аналитик, 10000 грн
Главный бухгалтер, 10000 грн
Бухгалтер (единственный), 10000 грн
Менеджер по продажам, 10000 грн
Заведующий складом, 10000 грн
Оператор call-центра  менеджер по работе с клиентами (медицина  входящая линия), 10000 грн
Курьер со своим автомобилем в интернет-магазин, 10000 грн
Руководитель проекта, 10000 грн
Инженер-проектировщик систем вентиляции кондиционирования и отопления, 10000 грн
Сервисный инженер (Подольский р-н), 10000 грн
Старший администратор гостиницы, 10000 грн
Web-разработчик (Javascript  jQuery  HTML  CSS  PHP), 10000 грн
Главный бухгалтер (производство), 10000 грн
Мастер композитного участка в Бровары, 10000 грн
Монтажник РЭА, 10000 грн
Вчитель початкових класів, 10000 грн
Переводчик английского в брачное агентство, 10000 грн
Специалист по решению технических задач, 10000 грн
Торговый представитель (рыба  мясо), 10000 грн
Оператор Call-centre со знанием англ. языка, 10000 грн
Стоматолог-терапевт, 10000 грн
Оператор  литейщик на производство, 10000 грн
Менеджер по работе с клиентами, 10000 грн
Архитектор-дизайнер, 10000 грн
Мастер-парикмахер, 10000 грн*
Менеджер по продажам (входящая линия), 10000 грн*
Продавец спортивной одежды (ТЦ Lavina), 10000 грн*
Продавец спортивной одежды (ТРЦ Ocean Plaza), 10000 грн*
Юрист  помощник руководителя, 10000 грн*
Менеджер по продажам, 10000 грн*
Машинист мостового крана, 10000 грн*
Бетонщик  монолитчик, 10000 грн*
Швея  портной, 10000 грн*
Менеджер по продажам (IT-разработки  туризм), 10000 грн*
Водитель в такси на автомобиль компании, 10000 грн*
Водитель по доставке воды, 10000 грн*
Официант, 10000 грн*
Менеджер по продажам в автосалон электромобилей, 10000 грн*
Менеджер по продажам, 10000 грн*
Продавец-консультант мобильных телефонов и аксессуаров, 10000 грн*
Менеджер по продажам, 10000 грн*
HR-менеджер, 10000 грн*
Продавец-консультант магазина Lifecell (Оболонь), 10000 грн*
Оператор call-центра, 10000 грн*
